order_date,customer_id,revenue,quantity
2020-05-11 21:27:00,3395,12.75,1
2020-05-11 21:27:00,3395,4.99,1
2020-04-23 22:51:11.998000,21313,21.25,1
2020-04-06 10:45:38.002000,9844,29.75,1
2020-04-06 10:45:38.002000,9844,9.99,1
2020-03-26 03:13:35.996000,22652,21.25,1
2020-01-24 22:48:05.996000,28890,3.99,1
2020-01-03 16:53:29.996000,7708,9,1
2020-01-03 16:53:29.996000,7708,9.99,1
2020-01-03 12:54:09.003000,2208,3.99,1
2020-01-03 07:35:41.004000,2208,3.99,1
2020-01-03 07:35:41.004000,2208,9.99,1
2019-12-01 20:54:11.998000,31622,3.99,1
2019-06-19 19:17:51,28689,21.25,1
2020-05-11 21:27:00,3395,12.75,1
2020-05-11 21:27:00,3395,4.99,1
2020-07-03 20:00:57.997000,5445,21.25,1
2020-07-03 20:00:57.997000,5445,4.99,2
2020-07-03 20:00:57.997000,5445,21.25,1
2020-07-16 15:24:46.996000,5784,21.25,1
2020-07-16 15:24:46.996000,5784,4.99,1
2020-07-16 15:24:46.996000,5784,25.99,1
2020-07-17 20:11:02.003000,12216,12.75,1
2020-07-17 20:11:02.003000,12216,4.99,1
2020-08-05 07:08:29.003000,14980,12.75,1
2020-08-05 07:08:29.003000,14980,4.99,1
2020-08-20 19:03:39.001000,14229,12.75,1
2020-08-26 17:56:02.996000,14229,12.75,1
2020-10-28 19:56:38.996000,2208,10.99,1
2020-10-28 19:56:38.996000,2208,9.99,1
11/11/2020 12:41,9877,21.25,1
11/11/2020 12:41,9877,9.99,1
02/04/2020,8830,10.63,1
02/04/2020,8830,9.99,1
07/02/2020,21966,13.38,1
07/01/2020 10:01,6519,12.76,1
07/01/2020 10:01,6519,5.99,1
07/01/2020 10:01,6519,19.99,1
15/04/2020 12:01,11123,9.89,1
15/04/2020 12:01,11123,,
30/04/2020 16:39,30378,9.99,1
05/06/2020 20:36,18816,10.99,1
05/06/2020 20:36,18816,5.99,1
2020-05-02 08:19,30169,22.5,1
2020-11-12 22:53,8485,15,1
2020-11-12 22:53,8485,15,1
2020-12-16 14:30,26545,20,1
2020-12-21 21:43,14175,9.99,1
2020-12-21 21:43,14175,4.99,1
2020-08-27 22:46,12324,9.99,1
2020-08-27 22:46,12324,7.49,1
2020-08-25 08:48,19113,25,1
2020-08-25 08:48,19113,7.49,1
2020-08-17 16:43,15534,14.33,1
2020-08-17 16:43,15534,9.77,1
2020-05-29 16:28,26238,9.99,1
2020-05-23 15:37,29705,9.99,1
2020-01-13 12:23,14294,7.99,1
2020-01-13 12:23,14294,12.49,1
2020-11-30 21:48,1225,39.99,1
2020-11-30 21:48,1225,0,1
2020-11-30 21:48,1225,0,1
2020-11-30 21:48,1225,0,1
2020-11-30 21:48,1225,5.99,5
2020-11-30 21:48,1225,0,1
2020-10-20 09:41,18754,11.99,1
2020-10-20 09:41,18754,4.99,1
2020-08-31 18:12,31472,12.25,1
2020-07-12 12:21,3999,21,1
2020-07-12 12:21,3999,4.99,1
2020-06-26 18:27,3999,10.99,1
2020-06-26 18:27,3999,4.99,1
2020-05-28 15:24,17451,9,1
2020-05-28 15:24,17451,4.99,1
2020-05-21 07:46,6268,7,1
2020-05-21 07:46,6268,0.2,1
2020-05-21 07:46,6268,0.6,1
2020-04-17 10:56,14988,12.25,1
2020-04-17 10:56,14988,4.99,1
2020-03-31 13:56,30879,10.99,1
2020-01-13 20:24,16223,19.99,1
2020-01-13 20:24,16223,0,1
2020-05-11 20:57:12.004000,5927,425,1
2020-05-11 20:57:12.004000,5927,4.99,1
2020-05-11 20:57:12.004000,5927,25.99,1
25/10/2020,21834,1.66,1
17/03/2020,6730,13.25,1
15/02/2020,1350,8.75,1
15/02/2020,1350,9.99,5
15/02/2020,1350,8.03,1
15/02/2020,1350,8.03,1
15/02/2020,1350,8.75,1
15/02/2020,1350,16.66,1
01/02/2020,6730,13.38,1
25/01/2020,6730,13.5,1
2020-07-28 06:35,5315,3.99,1
2020-07-28 06:35,5315,7.49,1
2020-07-04 05:49,26267,7.99,1
2020-06-28 11:50,5315,25,1
2020-02-27 12:36,13907,25,1
2020-02-27 12:36,13907,12.49,1
2020-05-06 15:53,11013,9.99,1
2020-05-06 15:53,11013,4.99,1
2020-05-11 20:36:30.004000,1586,17,1
2020-05-11 20:36:30.004000,1586,4.99,1
2020-05-11 20:36:30.004000,1586,25.99,1
2020-05-03 13:36:16.004000,31678,21.25,1
2020-05-03 09:55:26.003000,17943,21.25,1
2020-05-03 09:55:26.003000,17943,4.99,1
2020-04-29 13:50:58.001000,20974,21.25,1
2020-04-29 13:50:58.001000,20974,4.99,1
2020-04-21 14:51:52.004000,18022,15.99,1
